City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max. Temp.,Wind Speed
Ushuaia,100,AR,1574563217,37,-54.81,-68.31,55.4,19.46
Mayo,90,CA,1574563333,84,63.59,-135.9,1.4,3.02
Kungurtug,73,RU,1574563334,68,50.6,97.53,-2.56,2.55
Te Anau,23,NZ,1574563334,63,-45.41,167.72,53.33,8.86
Lebu,100,ET,1574563334,94,8.96,38.73,54.48,1.36
Barrow,0,AR,1574563334,63,-38.31,-60.23,52.25,15.01
Kodiak,1,US,1574562987,74,39.95,-94.76,37.4,4.7
Vaini,0,IN,1574563335,82,15.34,74.49,64.4,3.36
Ulladulla,90,AU,1574563335,56,-35.36,150.48,69.8,8.05
Bereda,32,ES,1574563335,87,43.27,-7.54,48.99,6.93
Punta Arenas,75,CL,1574563272,81,-53.16,-70.91,50.0,10.29
Vestmanna,100,FO,1574562917,81,62.16,-7.17,46.4,8.05
Mataura,90,NZ,1574563335,58,-46.19,168.86,59.0,25.01
Kapaa,90,US,1574563310,74,22.08,-159.32,84.2,16.11
Chowchilla,0,US,1574563336,58,37.12,-120.26,60.8,5.44
New Norfolk,75,AU,1574563336,34,-42.78,147.06,72.0,16.11
Arraial do Cabo,78,BR,1574563336,91,-22.97,-42.02,73.09,21.3
Torbay,5,CA,1574563314,79,47.66,-52.73,35.01,13.87
Hasaki,75,JP,1574562923,93,35.73,140.83,64.4,6.93
Avarua,100,CK,1574563127,88,-21.21,-159.78,77.0,8.05
Alenquer,20,BR,1574563337,83,-1.95,-54.74,80.6,6.93
Porto Novo,75,BR,1574563337,88,-23.68,-45.44,66.2,6.93
Naryan-Mar,100,RU,1574563337,96,67.67,53.09,28.49,9.19
Grindavik,75,IS,1574563191,100,63.84,-22.43,35.6,2.24
Darovskoy,81,RU,1574563338,68,58.77,47.96,16.88,3.96
Rikitea,80,PF,1574563306,65,-23.12,-134.97,71.91,7.54
Georgetown,20,GY,1574562782,100,6.8,-58.16,82.4,2.24
Port Elizabeth,90,US,1574563338,93,39.31,-74.98,50.0,4.12
Roald,100,NO,1574563338,93,62.58,6.12,41.0,8.05
Husavik,67,CA,1574563309,84,50.56,-96.99,39.0,10.0
Qaanaaq,100,GL,1574563339,66,77.48,-69.36,11.5,8.84
